v;0.025;0.1;0.01
1;12.706;3.078;31.821
2;4.303;1.886;6.965
3;3.182;1.638;4.541
4;2.776;1.533;3.747
5;2.571;1.476;3.365
6;2.447;1.44;3.143
7;2.365;1.415;2.998
8;2.306;1.397;2.896
9;2.262;1.383;2.821
10;2.228;1.372;2.764
11;2.201;1.363;2.718
12;2.179;1.356;2.681
13;2.16;1.35;2.65
14;2.145;1.345;2.624
15;2.131;1.341;2.602
16;2.12;1.337;2.583
17;2.11;1.333;2.567
18;2.101;1.33;2.552
19;2.093;1.328;2.539
20;2.086;1.325;2.528
21;2.08;1.323;2.518
22;2.074;1.321;2.508
23;2.069;1.319;2.5
24;2.064;1.318;2.492
25;2.06;1.316;2.485
26;2.056;1.315;2.479
27;2.05;1.314;2.473
28;2.08;1.313;2.467
29;2.045;1.311;2.462
30;2.042;1.31;2.457
40;2.021;1.303;2.423
50;2.009;1.296;2.403
60;2;1.296;2.39
80;1.99;1.292;2.374
100;1.984;1.29;2.365
120;1.98;1.289;2.358
200;1.972;1.286;2.345
500;1.965;1.283;2.334
1000;1.96;1.282;2.326
